#{"t_start": 1783132195.4180708, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-23.668118,55,1.738923,55.0,-50.19265105258715,16.032269161581027,16.906985141848164,-3.9975151705741894,-19.87962319850922,-6.001672807106878,-29.483760715414153,-2.0521498285966686,-0.3407221737917521,-0.3747943911709274
-33.637842,57,1.843652,57.0,-64.085663571019,14.992649268341898,17.54044488202806,-4.121477146148682,-22.150795900821677,-8.099348023100434,-22.731473172339278,-1.9821787143089418,-0.45419213828232713,-0.517779037641853
-28.365986,46,1.924814,46.0,-51.986599710256954,12.434349577440656,14.529647360322652,-3.3581691408157353,-16.1963219165802,-5.762881814349165,-22.175745481286942,-1.8502652953564747,-0.43543617178215366,-0.4006012780395814
-22.550795,49,2.017838,49.0,-42.22957792813334,12.390253426639624,15.423347503120027,-3.5234020900726315,-15.643103301525121,-6.481204338156892,-29.657720512168364,-1.829387609190034,-0.34946147107082687,-0.3424722416494103
88.488426,71,2.147777,71.0,24.935308323695452,23.10718983763757,21.47015865246525,-5.266992421150208,-24.83607534170151,-0.5978342176236894,-18.3816657852611,-2.9416635105556965,0.04779080424671287,0.06786294203033227
-30.163823,43,2.232161,43.0,-43.43387917092856,10.166386514216198,12.089797808784569,-3.251365664005278,-16.171219742298128,-5.13873469135884,-25.665619048509395,-1.7591889267685308,-0.3283633652912323,-0.28239249415045975
-18.554139,53,2.333212,53.0,-49.665310129260625,15.482869263693317,17.025677325860578,-4.128684346675873,-21.00791654586792,-5.884759867063135,-21.489404727180965,-1.8866100509325812,-0.353654352301636,-0.3748736134397342
-47.012215,51,2.423505,51.0,-52.20487172566066,15.046314733816466,15.961886633521402,-3.840414056777954,-18.086100414395332,-5.525731708034686,-47.07200923144045,-2.2912891116916256,-0.4632840788703533,-0.47254976044776037
-33.447066,50,2.514408,50.0,-38.89565966820617,15.441099265058243,17.26655107908368,-3.653138451576233,-17.68812936544419,-3.1230494598583003,-50.75846661675432,-2.0362723083642136,-0.259949286423809,-0.259949286423809
-20.539781,43,2.595238,43.0,-33.123670734765426,12.957817787913688,14.401804694939822,-3.231231672763825,-15.779577493667603,-4.534589278594949,-32.342270799385695,-1.888063856871628,-0.2997055222262108,-0.25774674911454126
-36.741318,42,2.670345,42.0,-57.076620730219254,9.228925196475636,12.113423882906003,-2.971574647426605,-13.387105679512024,-7.683655880178302,-17.23542153232124,-1.7292886609906946,-0.613934856558955,-0.5157052795095222
-23.332075,51,2.765418,51.0,-51.5897313708721,13.243498995652619,15.639260963355783,-3.6485933089256295,-18.061064517498014,-5.498654638966716,-22.628051183569333,-1.7887396740900392,-0.40636866244570535,-0.41449603569461946
-48.259111,64,2.888222,64.0,-66.95674306104213,18.075637403953678,19.639724203818194,-4.763686504364015,-23.94558055400848,-8.862005274934898,-42.6063344187387,-2.840123229748132,-0.40477827288489593,-0.5181161892926668
18.947579,62,3.006423,62.0,-26.874707517226987,19.18451891375807,20.00883562105697,-4.549618926048279,-22.54822231531143,-4.136786489063033,-21.995374648458284,-2.1410653427488335,-0.11825074326444772,-0.14663092164791516
-10.996837,42,3.085674,42.0,-30.70605758738779,11.602492197072293,13.504756528112155,-3.3079078030586246,-16.629698550701143,-3.604057372755034,-22.41659050564899,-1.439773574622941,-0.35750535833401065,-0.30030450100056894
-40.564375,48,3.17497,48.0,-46.19153261058419,13.645721040520064,14.562687246194617,-3.557288322448729,-18.7120915055275,-5.175242313389048,-41.45877805237722,-1.6778501389952565,-0.3771727157926158,-0.36208580716091116
-31.788223,61,3.288755,61.0,-60.296168797688765,17.0823037253612,20.06122174694581,-4.342567212581636,-21.71012892723083,-7.545695138267015,-33.466542569191645,-2.5706455363335756,-0.39979061381850745,-0.48774454885857904
-20.48832,51,3.383541,51.0,-32.28023123456962,15.023674923166705,16.271608519882804,-3.9987013792991637,-19.3146665096283,-3.609543630800429,-41.48863316844025,-2.0918271481228943,-0.16796261361404324,-0.17132186588632412
-2.930396,51,3.484827,51.0,-25.290713601438018,15.487244604082875,15.644098016527636,-3.791085574626923,-17.714444494247438,-2.646457579996899,-33.80122750195042,-1.817810005301114,-0.2961250923315406,-0.3020475941781714
-35.498799,49,4.031377,49.0,-46.14385761167603,12.93786463386205,14.34394571134752,-3.7571225714683543,-18.701317316293718,-4.979486075275535,-36.46913251667925,-1.7296935460357779,-0.37730427225397245,-0.369758186808893
